,speech_number,type,position,sentiment_blob
7,58,Great Speech,7,0.12882723337268792
8,58,Great Speech,8,0.23216036414565827
9,58,Great Speech,9,0.19947359307359305
0,59,Great Speech,0,0.0
1,59,Great Speech,1,0.0
2,59,Great Speech,2,0.0
3,59,Great Speech,3,0.0
4,59,Great Speech,4,0.0
5,59,Great Speech,5,0.0
6,59,Great Speech,6,0.0
7,59,Great Speech,7,0.0
8,59,Great Speech,8,0.0
9,59,Great Speech,9,0.20906440498277234
0,60,Great Speech,0,0.05
1,60,Great Speech,1,0.0
2,60,Great Speech,2,0.022245179063360876
3,60,Great Speech,3,0.12642045454545453
4,60,Great Speech,4,0.2991110080395795
5,60,Great Speech,5,0.13106060606060604
6,60,Great Speech,6,0.09047619047619047
7,60,Great Speech,7,0.07338383838383837
8,60,Great Speech,8,0.375
9,60,Great Speech,9,0.3325
0,61,Great Speech,0,0.13946428571428574
1,61,Great Speech,1,0.16065469340785793
2,61,Great Speech,2,0.09132215007215007
3,61,Great Speech,3,0.025898472596585804
4,61,Great Speech,4,0.08997395833333333
5,61,Great Speech,5,0.2082604470359572
6,61,Great Speech,6,-0.02685185185185186
7,61,Great Speech,7,0.11431031090122
8,61,Great Speech,8,0.11763392857142857
9,61,Great Speech,9,0.1469376026272578
0,62,Great Speech,0,0.09927937915742792
1,62,Great Speech,1,0.028758166076347895
2,62,Great Speech,2,0.1150942195059842
3,62,Great Speech,3,0.0946453168044077
4,62,Great Speech,4,0.11688596491228069
5,62,Great Speech,5,0.15398909732243066
6,62,Great Speech,6,0.05727594477594476
7,62,Great Speech,7,0.06996688050904917
8,62,Great Speech,8,0.11039562289562292
9,62,Great Speech,9,0.14769041345128303
0,63,Great Speech,0,0.0
1,63,Great Speech,1,0.3333333333333333
2,63,Great Speech,2,0.2041666666666667
3,63,Great Speech,3,0.25
4,63,Great Speech,4,0.0
5,63,Great Speech,5,0.15
6,63,Great Speech,6,0.125
7,63,Great Speech,7,0.2882275132275132
8,63,Great Speech,8,0.3333333333333333
9,63,Great Speech,9,0.2045918367346939
0,64,Great Speech,0,0.15714285714285714
1,64,Great Speech,1,0.28789682539682543
2,64,Great Speech,2,0.20426240426240425
3,64,Great Speech,3,0.04308473389355742
4,64,Great Speech,4,0.04963984103328364
5,64,Great Speech,5,-0.0020737327188940216
6,64,Great Speech,6,0.012499999999999997
7,64,Great Speech,7,0.08361344537815123
8,64,Great Speech,8,0.1825355596784168
9,64,Great Speech,9,0.15325190682333542
0,65,Great Speech,0,0.09767398006034367
1,65,Great Speech,1,0.17460317460317457
2,65,Great Speech,2,0.006679894179894184
3,65,Great Speech,3,0.15551378446115285
4,65,Great Speech,4,0.23698308270676693
5,65,Great Speech,5,0.11666666666666667
6,65,Great Speech,6,0.06536796536796538
7,65,Great Speech,7,0.07400278293135436
8,65,Great Speech,8,0.10892857142857143
9,65,Great Speech,9,0.09445155783183949
0,66,Great Speech,0,0.07962962962962962
1,66,Great Speech,1,0.0
2,66,Great Speech,2,-0.36875
3,66,Great Speech,3,0.11851851851851852
4,66,Great Speech,4,0.06442307692307692
5,66,Great Speech,5,-0.06845238095238096
6,66,Great Speech,6,-0.018939393939393933
7,66,Great Speech,7,0.15789473684210528
8,66,Great Speech,8,-0.025
9,66,Great Speech,9,0.20021816807531095
0,67,Great Speech,0,0.8
1,67,Great Speech,1,0.40714285714285714
2,67,Great Speech,2,0.0
3,67,Great Speech,3,0.0
4,67,Great Speech,4,-0.15
5,67,Great Speech,5,1.0
6,67,Great Speech,6,0.32727272727272727
7,67,Great Speech,7,0.19642857142857142
8,67,Great Speech,8,0.27416603004838297
9,67,Great Speech,9,0.0
0,68,Great Speech,0,0.13347402597402597
1,68,Great Speech,1,0.11989247311827957
2,68,Great Speech,2,0.03811327561327561
3,68,Great Speech,3,-0.047142857142857146
4,68,Great Speech,4,0.11764455782312926
5,68,Great Speech,5,0.28750000000000003
6,68,Great Speech,6,0.24523809523809523
